Date,Close
5/19/2016,180.96
5/20/2016,182.29
5/23/2016,178.65
5/24/2016,182.77
5/25/2016,182.92
5/26/2016,179.57
5/27/2016,181.22
5/31/2016,183.14
6/1/2016,184.81
6/2/2016,187.79
6/3/2016,186.46
6/6/2016,187.17
6/7/2016,184.97
6/8/2016,187.74
6/9/2016,186.88
6/10/2016,185.47
6/13/2016,183.64
6/14/2016,181.55
6/15/2016,180.93
6/16/2016,179.75
6/17/2016,177.78
6/20/2016,179.87
6/21/2016,179.27
6/22/2016,181.53
6/23/2016,184
6/24/2016,177.07
6/27/2016,172.63
6/28/2016,176.58
6/29/2016,183.34
6/30/2016,186.65
7/1/2016,188.1
7/5/2016,187.48
7/6/2016,191.88
7/7/2016,191.2
7/8/2016,192.79
7/11/2016,193.45
7/12/2016,195.47
7/13/2016,197.41
7/14/2016,198.03
7/15/2016,197.14
7/18/2016,197.7
7/19/2016,197.97
7/20/2016,198.44
7/21/2016,196.5
7/22/2016,196.57
7/25/2016,196.01
7/26/2016,196.28
7/27/2016,196.92
7/28/2016,193.44
7/29/2016,194.56
8/1/2016,192.09
8/2/2016,193.53
8/3/2016,195.14
8/4/2016,194.48
8/5/2016,194.66
8/8/2016,195.1
8/9/2016,196.29
8/10/2016,195.65
8/11/2016,196.62
8/12/2016,195.24
8/15/2016,196.12
8/16/2016,195.01
8/17/2016,195.78
8/18/2016,194.43
8/19/2016,193.85
8/22/2016,193.65
8/23/2016,192.75
8/24/2016,189.05
8/25/2016,183.3
8/26/2016,182.79
8/29/2016,183.9
8/30/2016,183.03
8/31/2016,184.62
9/1/2016,183.27
9/2/2016,182.98
9/6/2016,184.69
9/7/2016,184.96
9/8/2016,183.04
9/9/2016,176.09
9/12/2016,180.47
9/13/2016,175.84
9/14/2016,167.7
9/15/2016,168.97
9/16/2016,166.16
9/19/2016,165
9/20/2016,164.8
9/21/2016,166.4
9/22/2016,168.12
9/23/2016,167.08
9/26/2016,165.18
9/27/2016,166.36
9/28/2016,166.62
9/29/2016,164.42
9/30/2016,166.75
10/3/2016,165.38
10/4/2016,165.66
10/5/2016,165.67
10/6/2016,164.75
10/7/2016,165.82
10/10/2016,165.33
10/11/2016,163.63
10/12/2016,162.54
10/13/2016,162.07
10/14/2016,161
10/17/2016,160.65
10/18/2016,162.1
10/19/2016,161.12
10/20/2016,161.95
10/21/2016,161.03
10/24/2016,160.27
10/25/2016,158.5
10/26/2016,158.57
10/27/2016,160.5
10/28/2016,124.11
10/31/2016,127.17
11/1/2016,129.27
11/2/2016,135.83
11/3/2016,129.59
11/4/2016,130.76
11/7/2016,134.51
11/8/2016,130.51
11/9/2016,141.68
11/10/2016,147.49
11/11/2016,143.03
11/14/2016,143.69
11/15/2016,142.87
11/16/2016,141.48
11/17/2016,141.48
11/18/2016,140.05
11/21/2016,141.35
11/22/2016,141.33
11/23/2016,141.27
11/25/2016,143.07
11/28/2016,143.11
11/29/2016,141.25
11/30/2016,143.81
12/1/2016,143.08
12/2/2016,143.56
12/5/2016,145
12/6/2016,145.4
12/7/2016,141.62
12/8/2016,143.34
12/9/2016,146.25
12/12/2016,146.49
12/13/2016,147.97
12/14/2016,143.37
12/15/2016,142.34
12/16/2016,142.29
12/19/2016,141.56
12/20/2016,141.13
12/21/2016,141.59
12/22/2016,140.34
12/23/2016,141.18
12/27/2016,142.07
12/28/2016,141.53
12/29/2016,141.78
12/30/2016,140.45
1/3/2017,147.43
1/4/2017,148.58
1/5/2017,146.5
1/6/2017,146.92
1/9/2017,146.84
1/10/2017,146.82
1/11/2017,143.2
1/12/2017,144.68
1/13/2017,147.18
1/17/2017,148.43
1/18/2017,149.74
1/19/2017,147.29
1/20/2017,150.28
1/23/2017,149.32
1/24/2017,148.31
1/25/2017,151.1
1/26/2017,138.55
1/27/2017,136.74
1/30/2017,137.11
1/31/2017,139.15
2/1/2017,140.03
2/2/2017,139
2/3/2017,138.84
2/6/2017,139.82
2/7/2017,139.93
2/8/2017,140.94
2/9/2017,139.71
2/10/2017,139.57
2/13/2017,140.49
2/14/2017,145.2
2/15/2017,149.52
2/16/2017,149.42
2/17/2017,150.25
2/21/2017,150.89
2/22/2017,149.05
2/23/2017,148.97
2/24/2017,150.85
2/27/2017,151.45
2/28/2017,150.13
3/1/2017,148.97
3/2/2017,150.16
3/3/2017,152.53
3/6/2017,150.24
3/7/2017,147.24
3/8/2017,147.83
3/9/2017,149.47
3/10/2017,147.67
3/13/2017,148.05
3/14/2017,147.11
3/15/2017,148.26
3/16/2017,148.83
3/17/2017,147.93
3/20/2017,147.17
3/21/2017,146
3/22/2017,146.31
3/23/2017,145.82
3/24/2017,145.63
3/27/2017,148.5
3/28/2017,149.88
3/29/2017,151.35
3/30/2017,149.48
3/31/2017,148.26
4/3/2017,146.17
4/4/2017,145.77
4/5/2017,144.75
4/6/2017,144.84
4/7/2017,143.91
4/10/2017,145.49
4/11/2017,145.38
4/12/2017,143.89
4/13/2017,143.2
4/17/2017,144.22
4/18/2017,137.6
4/19/2017,136.09
4/20/2017,137.66
4/21/2017,135.92
4/24/2017,136.15
4/25/2017,135
4/26/2017,136.03
4/27/2017,138.79
4/28/2017,138.29
5/1/2017,138.47
5/2/2017,139.21
5/3/2017,138.21
5/4/2017,142.22
5/5/2017,141.47
5/8/2017,140.87
5/9/2017,142.49
5/10/2017,143.23
5/11/2017,145.7
5/12/2017,144.58
5/15/2017,145.33
5/16/2017,144.92
5/17/2017,142.04
5/18/2017,141.44
5/19/2017,153.01
5/22/2017,155.42
5/23/2017,159
5/24/2017,161.23
5/25/2017,162.36
5/26/2017,161.2
5/30/2017,162.11
5/31/2017,163.09
6/1/2017,165.92
6/2/2017,165.7
6/5/2017,165.9
6/6/2017,161.94
6/7/2017,161.59
6/8/2017,162.15
6/9/2017,163.39
6/12/2017,161.77
6/13/2017,162.15
6/14/2017,163.37
6/15/2017,163.91
6/16/2017,159.83
6/19/2017,161.75
6/20/2017,160.97
6/21/2017,162.87
6/22/2017,165.57
6/23/2017,166.96
6/26/2017,167.61
6/27/2017,166.69
6/28/2017,166.62
6/29/2017,163.64
6/30/2017,164.54
7/3/2017,164.55
7/5/2017,165.27
7/6/2017,163.08
7/7/2017,164.68
7/10/2017,164.71
7/11/2017,165.2
7/12/2017,166.34
7/13/2017,166.33
7/14/2017,167.5
7/17/2017,168.12
7/18/2017,165.41
7/19/2017,164.85
7/20/2017,165.07
7/21/2017,165.92
7/24/2017,166.74
7/25/2017,167.63
7/26/2017,166.35
7/27/2017,162.53
7/28/2017,162.51
7/31/2017,161.87
8/1/2017,161.26
8/2/2017,159.61
8/3/2017,155.34
8/4/2017,154.69
8/7/2017,155.68
8/8/2017,157.26
8/9/2017,154.27
8/10/2017,151.07
8/11/2017,149.99
8/14/2017,149.08
8/15/2017,149.26
8/16/2017,147.64
8/17/2017,146.83
8/18/2017,146
8/21/2017,146.14
